,WHOCountry,WHORegion,WorldBankLevel,WHOPop,GHDSubRegion,UNRegion,UNSubregion,UNIntermediateRegion,UNCountry,origin_country,origin_country_unknown,DST_ethnicity
99,"Korea, Republic of ",Western Pacific,High income,51225321,High-income Asia Pacific,Asia,Eastern Asia,Eastern Asia,Republic of Korea,Sydkorea,0,Non Western
100,Singapore,Western Pacific,High income,5804343,High-income Asia Pacific,Asia,South-eastern Asia,South-eastern Asia,Singapore,Singapore,0,Non Western
101,Canada,Americas,High income,37411038,High-income North America,Americas,Northern America,Northern America,Canada,Canada,0,Western
102,United States of America,Americas,High income,329064917,High-income North America,Americas,Northern America,Northern America,United States of America,USA,0,Western
103,Afghanistan,Eastern Mediterranean,Low income,38041757,North Africa and Middle East,Asia,Southern Asia,Southern Asia,Afghanistan,Afghanistan,0,Non Western
104,Algeria,African,Lower middle income,43053054,North Africa and Middle East,Africa,Northern Africa,Northern Africa,Algeria,Algeriet,0,Non Western
105,Bahrain,Eastern Mediterranean,High income,1641164,North Africa and Middle East,Asia,Western Asia,Western Asia,Bahrain,Bahrain,0,Non Western
106,Egypt,Eastern Mediterranean,Lower middle income,100388076,North Africa and Middle East,Africa,Northern Africa,Northern Africa,Egypt,Egypten,0,Non Western
107,"Iran, Islamic Republic of",Eastern Mediterranean,Upper middle income,82913893,North Africa and Middle East,Asia,Southern Asia,Southern Asia,Iran (Islamic Republic of),Iran,0,Non Western
108,Iraq,Eastern Mediterranean,Upper middle income,39309789,North Africa and Middle East,Asia,Western Asia,Western Asia,Iraq,Irak,0,Non Western
109,Jordan,Eastern Mediterranean,Upper middle income,10101697,North Africa and Middle East,Asia,Western Asia,Western Asia,Jordan,Jordan,0,Non Western
110,Kuwait,Eastern Mediterranean,High income,4207077,North Africa and Middle East,Asia,Western Asia,Western Asia,Kuwait,Kuwait,0,Non Western
111,Lebanon,Eastern Mediterranean,Upper middle income,3874000,North Africa and Middle East,Asia,Western Asia,Western Asia,Lebanon,Libanon,0,Non Western
112,Libya,Eastern Mediterranean,Upper middle income,6777453,North Africa and Middle East,Africa,Northern Africa,Northern Africa,Libya,Libyen,0,Non Western
113,Morocco,Eastern Mediterranean,Lower middle income,36471766,North Africa and Middle East,Africa,Northern Africa,Northern Africa,Morocco,Marokko,0,Non Western
114,Oman,Eastern Mediterranean,High income,4974992,North Africa and Middle East,Asia,Western Asia,Western Asia,Oman,Oman,0,Non Western
115,Qatar,Eastern Mediterranean,High income,330000,North Africa and Middle East,Asia,Western Asia,Western Asia,Qatar,Qatar,0,Non Western
116,Saudi Arabia,Eastern Mediterranean,High income,34268529,North Africa and Middle East,Asia,Western Asia,Western Asia,Saudi Arabia,Saudi-Arabien,0,Non Western
117,Syrian Arab Republic,Eastern Mediterranean,Low income,17070132,North Africa and Middle East,Asia,Western Asia,Western Asia,Syrian Arab Republic,Syrien,0,Non Western
118,Tunisia,Eastern Mediterranean,Lower middle income,11694721,North Africa and Middle East,Africa,Northern Africa,Northern Africa,Tunisia,Tunesien,0,Non Western
119,Turkey,European,Upper middle income,83429607,North Africa and Middle East,Asia,Western Asia,Western Asia,Türkiye,Tyrkiet,0,Non Western
120,United Arab Emirates,Eastern Mediterranean,High income,9770526,North Africa and Middle East,Asia,Western Asia,Western Asia,United Arab Emirates,Forenede Arabiske Emirater,0,Non Western
121,Yemen,Eastern Mediterranean,Low income,29161922,North Africa and Middle East,Asia,Western Asia,Western Asia,Yemen,Yemen,0,Non Western
122,American Samoa,Western Pacific,Upper middle income,55312,Oceania,Oceania,Polynesia,Polynesia,American Samoa,Amerikansk Samoa,0,Non Western
123,Cook Islands,Western Pacific,Upper middle income,17547,Oceania,Oceania,Polynesia,Polynesia,Cook Islands,Cookøerne,0,Non Western
124,Fiji,Western Pacific,Upper middle income,889955,Oceania,Oceania,Melanesia,Melanesia,Fiji,Fiji,0,Non Western
125,French Polynesia,Western Pacific,High income,279285,Oceania,Oceania,Polynesia,Polynesia,French Polynesia,Fransk Polynesien,0,Non Western
126,Guam,Western Pacific,High income,167295,Oceania,Oceania,Micronesia,Micronesia,Guam,Guam,0,Non Western
127,Kiribati,Western Pacific,Lower middle income,117608,Oceania,Oceania,Micronesia,Micronesia,Kiribati,Kiribati,0,Non Western
128,Marshall Islands,Western Pacific,Upper middle income,58791,Oceania,Oceania,Micronesia,Micronesia,Marshall Islands,Marshalløerne,0,Non Western
129,"Micronesia, Federated States of",Western Pacific,Lower middle income,113811,Oceania,Oceania,Micronesia,Micronesia,Micronesia (Federated States of),Mikronesien,0,Non Western
130,Nauru,Western Pacific,High income,10764,Oceania,Oceania,Micronesia,Micronesia,Nauru,Nauru,0,Non Western
131,New Caledonia,Western Pacific,High income,282757,Oceania,Oceania,Melanesia,Melanesia,New Caledonia,Ny Caledonia,0,Non Western
132,Niue,Western Pacific,Low income,1614,Oceania,Oceania,Polynesia,Polynesia,Niue,Niue,0,Non Western
133,Northern Mariana Islands,Western Pacific,High income,57213,Oceania,Oceania,Micronesia,Micronesia,Northern Mariana Islands,Northern Marianaøerne,0,Non Western
134,Palau,Western Pacific,High income,18001,Oceania,Oceania,Micronesia,Micronesia,Palau,Palau,0,Non Western
135,Papua New Guinea,Western Pacific,Lower middle income,8776119,Oceania,Oceania,Melanesia,Melanesia,Papua New Guinea,Papua Ny Guinea,0,Non Western
136,Samoa,Western Pacific,Upper middle income,197093,Oceania,Oceania,Polynesia,Polynesia,Samoa,Samoa,0,Non Western
137,Solomon Islands,Western Pacific,Lower middle income,669821,Oceania,Oceania,Melanesia,Melanesia,Solomon Islands,Solomonøerne,0,Non Western
